array1
-8721.47743787752
-8722.232839202517
-8722.164837244718
-8722.184373710377
-8722.20573034292
-8722.228272797762
-8722.249154990814
-8722.274932691353
-8722.294151938595
-8722.310220944448
-8722.330003644001
-8722.343418435585
-8722.360613601311
-8722.374938386389
-8722.387655471297
-8722.397627783206
-8722.410694171023
-8722.426157691401
-8722.439277066362
-8722.452303081307
-8722.470121174176
-8722.486067044134
-8722.50028340548
-8722.516889487457
-8722.534897070238
-8722.550302501526
-8722.56663495125
-8722.582886922257
-8722.597991317934
-8722.615023154955
-8722.631852999417
-8722.64489666705
-8722.661537997845
-8722.676252635913
-8722.693686924238
-8722.708143192314
-8722.717407513475
-8722.726329907513
-8722.738399528058
-8722.760059997792
-8722.768233395704
-8722.781228990161
-8722.792730656682
-8722.803454975134
-8722.814911049652
-8722.825046964257
-8722.83425850945
-8722.837743389166
-8722.829316411566
-8722.82538214626
-8722.87361775836
-8722.799227290829
-8722.712086563432
-8722.61058557634
-8722.504872713154
-8722.408490637332
-8722.321414906819
-8722.23702063864
-8722.156606973072
-8722.079837630417
-8722.003791977013
-8721.933059996109
-8721.86228226743
-8721.790511831516
-8721.726696921301
-8721.65977034957
-8721.596632510444
-8721.530284518645
-8721.467590549466
-8721.413833929317
-8721.351741450617
-8721.297224893953
-8721.23589767329
-8721.176033292646
-8721.12184902602
-8721.083791513787
-8721.033995724581
-8720.958469397287
-8720.900005449103
-8720.836974143616
-8720.771072578229
-8720.733502036519
-8720.68667359366
-8720.624966133875
-8720.731264372824
-8720.552683329075
-8720.54883630276
-8723.106915423718
-8720.425682010766
-8720.588101929166
-8720.510883124653
-8720.746855159918
-8720.964773466416
-8721.467531371989
-8720.772138319138
-8722.747491694121
-8720.733211263105
-8720.650377631091
-8721.241932966883
-8721.702617499097
-8721.519940610315
-8720.396953480367
-8721.440718325559
-8720.371819374284
-8720.402724454283
-8721.234456042814
-8720.979585206975
-8720.997053088568
-8720.472616296123
-8720.768556552992
-8720.43594361572
-8720.401790024782
-8720.278657750872
-8719.950593085858
-8719.660292767378
-8719.404795335407
-8719.060954893308
-8718.894496266817
-8718.787613116368
-8718.690819334539
-8718.584491027388
-8718.487560156966
-8718.384440229529
-8718.284830674265
-8718.176921675395
-8718.084856183654
-8717.973179959741
-8717.867308252005
-8717.763167812609
-8717.66343890218
-8717.554985498124
-8717.451525895656
-8717.347438228044
-8717.232707018897
-8717.145197393394
-8717.072991726298
-8720.965917460597
-8719.241107921056
-8720.478194907455
-8719.11324676314
-8717.744757376147
-8719.078105573017
-8716.492645053448
-8716.853098221376
-8718.19879441627
-8716.46227691131
-8716.378918961347
-8719.611070480705
-8716.323877119436
-8716.305913881384
-8718.730878964969
-8717.365663641283
-8718.531379839198
-8718.754257841556
-8719.017263308704
-8718.05936638576
-8718.138711381855
-8718.205360786787
-8718.02121382795
-8717.260908536247
-8716.266563259818
-8715.348008146115
-8714.282951405427
-8713.52600534547
-8713.376700755378
-8713.225436372952
-8713.067922195198
-8712.913808991108
-8712.768056112023
-8712.614929341114
-8712.460053363237
-8712.30951685423
-8712.360147059726
-8719.973153278925
-8711.766591486794
-8712.037913172053
-8717.922658777143
-8712.379400241745
-8715.493764496812
-8718.868451584989
-8716.499266541388
-8719.638672893278
-8718.304336286888
-8718.2536344623
-8713.606780846992
-8716.941571159674
-8719.052446266202
-8717.487938962804
-8718.173446091758
-8717.443330904869
-8717.555192337271
-8716.257068677243
-8715.777246904518
-8715.542455628138
-8715.318666144547
-8715.17677152207
-8714.913545832209
-8714.680922382742
-8714.60787739797
-8714.169131809896
